created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Aug 30 03:25:27 +0000 2023;1696725792016007393;"Penyiraman Air Massal Dari Gedung Tinggi Akan Dilakukan Pemprov DKI Untuk Tangani Polusi Udara https://t.co/P5kLOVyJJe";0;0;0;0;in;1690969676287983616;1696725792016007393;bisnisbandung63;https://twitter.com/bisnisbandung63/status/1696725792016007393
Wed Aug 30 03:25:02 +0000 2023;1696725689050026373;"Rahmad Nilai DKI Jakarta Bisa Tiru Tiongkok Dalam Atasi Polusi Udara https://t.co/LUu79TRV7N";0;0;0;0;in;584835300;1696725689050026373;GesuriID;https://twitter.com/GesuriID/status/1696725689050026373
Wed Aug 30 03:24:06 +0000 2023;1696725452545790326;"Jokowi Bilang Penanganan Polusi Jakarta Perlu Waktu, Tak Bisa Langsung #TempoNasional https://t.co/H9YHFzdXIQ";0;1;0;0;in;18129942;1696725452545790326;tempodotco;https://twitter.com/tempodotco/status/1696725452545790326
Wed Aug 30 03:23:34 +0000 2023;1696725318676193359;"Polusi udara sebenarnya telah terjadi sejak dua tahun terakhir. Ini terlihat dari tren polusi udara di Jabodetabek yang berada diatas ambang batas aman WHO.   Dampaknya, dalam 6 bulan terakhir kasus ISPA di DKI Jakarta meningkat dari 50.000 menjadi 200.000 kasus 😱 https://t.co/Od2hCXPqHK";0;1;0;1;in;161236190;1696724639354179649;KemenkesRI;https://twitter.com/KemenkesRI/status/1696725318676193359
Wed Aug 30 03:23:21 +0000 2023;1696725266238951462;"Tugas menteri maritim dan investasi Luhut Binsar Pandjaitan kembali bertambah.   Yang terbaru, dia ditunjuk untuk menangani masalah polusi udara Jakarta. https://t.co/7X08QC9Aso";0;0;0;0;in;3063826036;1696725266238951462;BenarNewsID;https://twitter.com/BenarNewsID/status/1696725266238951462
Wed Aug 30 03:21:18 +0000 2023;1696724748632539566;"siap menghadapi polusi dunia https://t.co/pCPWyFSUeg";0;0;0;0;in;152116564;1696724748632539566;feedstraycats;https://twitter.com/feedstraycats/status/1696724748632539566
Wed Aug 30 03:21:14 +0000 2023;1696724734363480468;"Sini nak, polusi kendaraan ini lhooo";0;0;0;0;in;1623859099862700032;1696724734363480468;fermipans;https://twitter.com/fermipans/status/1696724734363480468
Wed Aug 30 03:20:52 +0000 2023;1696724639354179649;"#Healthies, polusi udara yang tinggi dalam beberapa waktu terakhir memicu meningkatnya masalah kesehatan pernafasan. Begini faktanya ⬇️ https://t.co/7m7rs8D4KI";0;1;0;3;in;161236190;1696724639354179649;KemenkesRI;https://twitter.com/KemenkesRI/status/1696724639354179649
Wed Aug 30 03:20:09 +0000 2023;1696724458730582114;"The more I realize that hidup di kampung itu memang sulit akses kesehatan+pendidikan, tapi hidup work-life balance, nutrisi cukup, udara bersih, fresh food melimpah.   Alias, ini orang dikampungku bisa ketawa liat aku beli mangga sekilo 35k+ pecel 30k sembari menghirup polusi.";0;0;0;2;in;1241037190563414023;1696724458730582114;Sinta_Amalia96;https://twitter.com/Sinta_Amalia96/status/1696724458730582114
Wed Aug 30 03:19:52 +0000 2023;1696724387322544277;"Alhamdulillah LRT sudah siap ditransportasikan  Semoga LRT ini bisa mengurangi kemacetan dan polusi udara di wilayah sekitar  @erickthohir  #GanjarErickDuetTerbaik https://t.co/iX6pcjkAx2";0;0;0;0;in;1314079717981519872;1696724387322544277;JasonZ44X;https://twitter.com/JasonZ44X/status/1696724387322544277
Wed Aug 30 03:19:25 +0000 2023;1696724276605559020;"Aipda Sugianto Sampaikan pesan Kepada Supir tentang kamseltibcar dan himbau bahaya tentang Polusi udara yang sangat tinggi gunakan Masker dan Cegah Bahaya kebakaran dirumah tinggal. https://t.co/mRA67f0oVy    https://t.co/YFQc04ZeAr https://t.co/A24OEUCnhw https://t.co/n8r1ARRaOx";0;0;0;0;in;1635189922645831680;1696724276605559020;KalibaruKawasan;https://twitter.com/KalibaruKawasan/status/1696724276605559020
Wed Aug 30 03:19:19 +0000 2023;1696724251066405008;"Jakarta dikepung Pembangkit Listrik Tenaga Uap (PLTU) dari dua provinsi, Banten dan Jawa Barat. yang mengandalkan batu bara sebagai sumber energi. Tidak menutup kemungkinan, PLTU ini turut berkontribusi pada polusi udara di Jakarta. https://t.co/nm4x1eSCnv https://t.co/Jky68UB8xz";0;1;0;0;in;1186946650595418116;1696724251066405008;voidotid;https://twitter.com/voidotid/status/1696724251066405008
Wed Aug 30 03:18:40 +0000 2023;1696724085529805085;"https://t.co/7ih34IzGR1: Kemenkes RI Ajak Cegah Dampak Polusi Udara Dengan ... https://t.co/SCqryX7Pho";0;0;0;0;in;1041431952362954752;1696724085529805085;kalbar_news;https://twitter.com/kalbar_news/status/1696724085529805085
Wed Aug 30 03:17:02 +0000 2023;1696723677491155163;"@msaid_didu Bgmn ceritanya pedagang batubara ngurusin polusi debu batubara";0;0;0;0;in;1647571685036654593;1696526166650450256;JayaManula;https://twitter.com/JayaManula/status/1696723677491155163
